[INFO][12.03.2016 13:43:39] Logger started to work
[INFO][12.03.2016 13:43:42] Чтение информации о матрице из файла C:\Users\omman\Source\Repos\toop-project\toop-project\toop-project\res\testFile.mtx...
[INFO][12.03.2016 13:43:42] Чтение информации о матрице из файла завершено.
[INFO][12.03.2016 13:43:42] Выбранный формат матрицы - плотный.
[INFO][12.03.2016 13:43:42] Ввод размерности матрицы...
[INFO][12.03.2016 13:43:42] Ввод размерности матрицы завершен.
[INFO][12.03.2016 13:43:42] Ввод элементов матрицы...
[INFO][12.03.2016 13:43:42] Ввод элементов матрицы завершен.
[INFO][12.03.2016 13:43:42] Успешное завершение ввода матрицы.
[INFO][12.03.2016 13:43:53] Чтение информации о правой части из файла C:\Users\omman\Source\Repos\toop-project\toop-project\toop-project\res\testRP.rtx.
[INFO][12.03.2016 13:43:53] Ввод размерности правой части...
[INFO][12.03.2016 13:43:53] Ввод размерности правой части завершен.
[INFO][12.03.2016 13:43:53] Ввод элементов правой части...
[INFO][12.03.2016 13:43:53] Ввод элементов правой части завершен.
[INFO][12.03.2016 13:43:53] Успешное завершение ввода правой части.
[SOLVER][12.03.2016 13:43:56] Solving: iteration number 0, residual is 1
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 19, residual is 0,195575951258112
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 20, residual is 0,204908399524423
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 21, residual is 0,214939054905165
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 22, residual is 0,225656461774408
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 23, residual is 0,237027614531813
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 24, residual is 0,249002953988263
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 25, residual is 0,261520458306666
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 26, residual is 0,274509113780569
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 27, residual is 0,287891945384352
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 28, residual is 0,301588706488029
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 29, residual is 0,31551827129653
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 30, residual is 0,329600739274086
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 31, residual is 0,34375924382105
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 32, residual is 0,357921453330533
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 33, residual is 0,372020757211168
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 34, residual is 0,385997138747329
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 35, residual is 0,399797747689588
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 36, residual is 0,413377195931643
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 37, residual is 0,426697608049329
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 38, residual is 0,439728464098626
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 39, residual is 0,452446274730344
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 40, residual is 0,464834128638613
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 41, residual is 0,476881150130007
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 42, residual is 0,488581900798585
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 43, residual is 0,499935754535728
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 44, residual is 0,510946269934879
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 45, residual is 0,521620579002558
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 46, residual is 0,531968806269602
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 47, residual is 0,542003528108477
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 48, residual is 0,551739278406128
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 49, residual is 0,561192103745298
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 50, residual is 0,570379168886575
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 51, residual is 0,57931841156099
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 52, residual is 0,588028244303313
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 53, residual is 0,596527300197248
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 54, residual is 0,604834218884686
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 55, residual is 0,612967468937891
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 56, residual is 0,62094520264044
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 57, residual is 0,628785139314796
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 58, residual is 0,636504473526275
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 59, residual is 0,6441198047489
[SOLVER][12.03.2016 13:44:02] Solving: iteration number 60, residual is 0,651647085370473
